SignalRecordInator saved data
note:Some more example data, this time without a time column.
numChannels: 2
Channels: AI0, AI2,
SaplingFrequency: 1000
-1.416889,-2.484839
-1.442222,-2.484839
-1.445183,-2.484181
-1.419192,-2.484839
-1.418205,-2.485168
-1.421166,-2.486155
-1.439919,-2.485168
-1.413928,-2.485168
-1.432023,-2.484510
-1.424456,-2.484839
-1.403071,-2.484839
-1.423469,-2.484839
-1.430707,-2.483523
-1.427417,-2.484510
-1.434326,-2.485168
-1.444196,-2.485168
-1.451434,-2.485168
-1.434984,-2.484510
-1.424456,-2.484510
-1.432352,-2.484510
-1.424785,-2.484839
-1.438603,-2.484839
-1.432681,-2.484510
-1.435313,-2.485168
-1.419192,-2.484510
-1.413599,-2.485168
-1.430707,-2.484510
-1.431694,-2.484839
-1.433010,-2.485497
-1.426430,-2.485497
-1.425772,-2.484510
-1.434326,-2.485497
-1.412612,-2.485168
-1.424456,-2.484510
-1.424456,-2.484839
-1.425114,-2.485168
-1.424456,-2.485497
-1.427417,-2.484839
-1.427417,-2.484839
-1.417876,-2.484510
-1.427746,-2.484839
-1.439261,-2.485168
-1.436300,-2.484510
-1.431365,-2.484181
-1.443867,-2.484839
-1.416889,2.489044
-1.422811,2.490360
-1.399452,2.489702
-1.441893,2.490689
-1.434984,2.491347
-1.415902,2.492005
-1.438603,2.490689
-1.445841,2.491676
-1.411625,2.490360
-1.427417,2.489044
-1.433668,2.488057
-1.424456,2.490689
-1.425772,2.490360
-1.435971,2.489373
-1.421166,2.489044
-1.416560,2.491676
-1.437616,2.491347
-1.427417,2.490360
-1.442222,2.490360
-1.407348,2.488386
-1.421495,2.489702
-1.424456,2.490031
-1.430378,2.489702
-1.453079,2.489702
-1.425114,2.489373
-1.448802,2.491018
-1.420837,2.488715
-1.417218,2.487728
-1.418863,2.488057
-1.414257,2.488057
-1.428075,2.489702
-1.414257,2.491018
-1.406361,2.491018
-1.439919,2.489373
-1.426430,2.489373
-1.431365,2.490360
-1.443538,2.489044
-1.439261,2.489373
-1.437945,2.490689
-1.433668,2.489373
-1.429062,2.491347
-1.441235,2.490689
-1.421495,2.489702
-1.424456,2.487728
-1.441235,2.488386
-1.417218,2.488057
-1.415244,2.490689
-1.406361,2.487728
-1.396491,2.489044
-1.336283,2.488057
-1.310950,2.488057
-1.265218,2.489373
-1.221460,2.488386
-1.163885,2.491347
-1.146118,2.490031
-1.098413,2.488386
-1.042482,2.488057
-0.999053,2.490360
-0.973062,2.488386
-0.940820,2.487728
-0.908906,2.489373
-0.863833,2.490031
-0.831590,2.490031
-0.826984,2.490360
-0.758880,2.488715
-0.744075,2.487728
-0.703279,2.489373
-0.689132,2.491347
-0.663798,2.491018
-0.621357,2.490031
-0.597010,2.491018
-0.594049,2.488057
-0.553582,2.487728
-0.548318,2.489044
-0.518049,2.490360
-0.509824,2.490360
-0.504560,2.488386
-0.490413,2.490031
-0.467054,2.489044
-0.472318,2.488386
-0.444024,2.488057
-0.450275,2.487399
-0.442708,2.489702
-0.441392,-2.484839
-0.449617,-2.485168
-0.472647,-2.485168
-0.446985,-2.484839
-0.470673,-2.484510
-0.503902,-2.484181
-0.494690,-2.484839
-0.516075,-2.484510
-0.516733,-2.485168
-0.560491,-2.485168
-0.582863,-2.485168
-0.609842,-2.485826
-0.636820,-2.485168
-0.682222,-2.485168
-0.705911,-2.485497
-0.754274,-2.485497
-0.796716,-2.484839
-0.839157,-2.484839
-0.888179,-2.483852
-0.920750,-2.483852
-0.967140,-2.484510
-1.028006,-2.484510
-1.106309,-2.484181
-1.151053,-2.484839
-1.204023,-2.485168
-1.257980,-2.485168
-1.303053,-2.485168
-1.360629,-2.484839
-1.422482,-2.484839
-1.437616,-2.484181
-1.438932,-2.484839
-1.426759,-2.484181
-1.432023,-2.484510
-1.443209,-2.484510
-1.432023,-2.484510
-1.430378,-2.484839
-1.431365,-2.484510
-1.426430,-2.485497
-1.433668,-2.484510
-1.423798,-2.484510
-1.437616,-2.484839
-1.423798,-2.484839
-1.431365,-2.485826
-1.434984,-2.485168
-1.412941,-2.485168
-1.446499,-2.485168
-1.422482,-2.485168
-1.456699,-2.485497
-1.430707,-2.485497
-1.442222,-2.485168
-1.431036,-2.485168
-1.436300,-2.484510
-1.410967,-2.485168
-1.427088,-2.484839
-1.420508,-2.485168
-1.423469,-2.484510
-1.403400,-2.484510
-1.417218,-2.484839
-1.441893,-2.484181
-1.422482,-2.484510
-1.440906,-2.485168
-1.433997,-2.484181
-1.417876,-2.485168
-1.428404,-2.485826
-1.411625,-2.485168
-1.432681,-2.485497
-1.432352,-2.484510
-1.423140,-2.484839
-1.420837,-2.484181
-1.447815,-2.485168
-1.447486,-2.485497
-1.412612,-2.484510
-1.435642,-2.484510
-1.438603,-2.484839
-1.438932,-2.484839
-1.431365,-2.484839
-1.426430,-2.485168
-1.422811,-2.484839
-1.438932,-2.485826
-1.436300,-2.485168
-1.415902,-2.484510
-1.450118,-2.484181
-1.448144,-2.484510
-1.461305,2.490689
-1.533686,2.490360
-1.640283,2.491347
-1.703123,2.489373
-1.794915,2.491018
-1.841634,2.491018
-1.893288,2.490031
-1.920924,2.488715
-1.944612,2.491018
-1.957773,2.490360
-1.956786,2.490360
-1.923885,2.491676
-1.845253,2.491347
-1.774517,2.490031
-1.652456,2.489044
-1.536647,2.488057
-1.386950,2.491676
-1.240872,2.491018
-1.030967,2.490360
-0.822378,2.490360
-0.623660,2.490689
-0.405859,2.492005
-0.143643,2.490360
0.125153,2.488057
0.375525,2.489373
0.687420,2.488715
0.957203,2.489373
1.228960,2.488715
1.535262,2.489373
1.843868,2.489373
2.145893,2.489373
2.464698,2.489702
2.845684,2.489044
2.822983,2.488057
2.420282,2.490360
2.126153,2.488715
1.766552,2.490360
1.458933,2.489702
1.168752,2.489702
0.837775,2.487728
0.548910,2.490031
0.268928,2.490689
-0.019609,2.491347
-0.325911,2.489044
-0.580560,2.487399
-0.841131,2.490360
-1.118482,2.489373
-1.332335,2.489044
-1.581391,2.488386
-1.762673,2.489373
-1.999227,2.490360
-2.181825,2.488057
-2.339090,2.489373
-2.499315,2.489702
-2.649671,2.491018
-2.753307,2.490689
-2.851022,2.488715
-2.948079,2.488057
-3.005655,2.489702
-3.034279,2.490689
-3.038227,2.488386
-3.005655,2.488057
-2.970122,2.488057
-2.917152,2.490031
-2.851022,2.487399
-2.802329,2.488715
-2.763836,2.488057
-2.688822,2.488715
-2.672043,2.488386
-2.634536,2.490689
-2.555575,2.489373
-2.532874,2.489373
-2.464770,2.486083
-2.419367,2.488715
-2.380544,2.490360
-2.310137,2.489702
-2.293029,2.488715
-2.245323,2.490031
-2.193340,2.491347
-2.135106,2.489044
-2.141028,2.490031
-2.067660,2.491018
-2.039366,2.490031
-1.978829,2.488057
-1.991331,-2.484510
-1.933426,-2.485826
-1.882102,-2.484839
-1.867625,-2.485826
-1.842621,-2.484510
-1.793599,-2.485168
-1.776820,-2.485497
-1.734049,-2.485497
-1.730101,-2.485168
-1.691279,-2.485826
-1.675158,-2.485497
-1.639296,-2.484839
-1.599815,-2.484839
-1.582378,-2.485168
-1.557374,-2.485168
-1.549149,-2.484510
-1.526447,-2.484510
-1.490915,-2.484839
-1.459002,-2.484839
-1.440906,-2.484839
-1.422153,-2.484839
-1.430378,-2.484181
-1.428404,-2.483852
-1.436629,-2.484181
-1.415244,-2.484839
-1.420179,-2.485168
-1.430049,-2.484510
-1.417547,-2.485168
-1.421495,-2.484839
-1.429391,-2.485168
-1.436300,-2.485497
-1.433339,-2.484510
-1.444525,-2.484839
-1.437616,-2.485168
-1.443867,-2.484181
-1.462292,-2.484510
-1.441235,-2.484510
-1.427417,-2.484510
-1.425772,-2.484181
-1.427417,-2.484181
-1.443867,-2.484510
-1.426759,-2.484510
-1.437616,-2.484510
-1.431694,-2.485168
-1.439590,-2.484510
-1.418534,-2.484839
-1.425443,-2.484510
-1.448802,-2.484839
-1.425114,-2.484510
-1.424785,-2.484510
-1.432681,-2.484839
-1.441235,-2.484839
-1.420508,-2.484839
-1.426430,-2.485168
-1.450118,-2.484181
-1.419192,-2.484510
-1.425443,-2.484839
-1.431365,-2.484839
-1.407677,-2.484839
-1.425443,-2.485168
-1.424785,-2.484839
-1.444854,-2.484510
-1.411954,-2.484510
-1.447486,-2.484510
-1.424127,-2.484839
-1.428404,-2.485168
-1.417547,-2.484510
-1.434655,-2.485497
-1.418205,-2.485168
-1.419192,-2.485497
-1.428075,-2.485497
